payer,role,toc_url,entity,entity_type,structures,plan_rows,in_network_links,seconds,error
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Town-of-Bellingham-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Town-of-Merrimac-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Town-of-Merrimac-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,2,2,4,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Town-of-Plainville-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Town-of-Templeton-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,2,2,4,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_UNITE-HERE-HEALTHLOCAL-26-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_UNITE-HERE-HEALTHLOCAL-26-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WELLESLEY-COLLEGE-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WELLESLEY-COLLEGE-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,2,2,4,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WHEATON-COLLEGE-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WHEATON-COLLEGE-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WILBRAHAM-MONSON-ACADEMY-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WILBRAHAM-MONSON-ACADEMY-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,2,2,4,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WSHG-WEST-SUBURBAN-HEALTH-GROUP-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,2,2,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_WSHG-WEST-SUBURBAN-HEALTH-GROUP-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
