npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1649246059,off-grid,N,N,NC,Internal Medicine - Nephrology
1134507023,off-grid,N,N,NH,Psychiatry & Neurology - Child & Adolescent Psychiatry
1851819346,T1,N,N,MA,Social Worker - Clinical
1356631436,off-grid,Y,N,MA,Internal Medicine
1548355431,T1,N,N,MA,Social Worker - Clinical
1538550876,T3,N,N,MA,Clinical Nurse Specialist - Psychiatric/Mental Health
1346353687,off-grid,N,N,MA,Preventive Medicine - Addiction Medicine
1881853919,off-grid,N,N,ME,Internal Medicine
1083693485,off-grid,N,N,MA,Radiology - Diagnostic Radiology
1306485735,off-grid,N,N,ME,Physician Assistant
1154320059,off-grid,Y,N,MA,Pediatrics
1952351223,off-grid,N,N,ME,Family Medicine
1699266296,T1,N,N,RI,Counselor - Mental Health
1679631527,T1,N,N,MA,Social Worker - Clinical
1538205539,off-grid,N,N,MI,Psychiatry & Neurology - Neurology
1700451663,off-grid,N,N,MA,Emergency Medicine
1841584968,T1,N,N,MA,Social Worker - Clinical
1225256043,T5,N,N,RI,Plastic Surgery
1386103372,T5,Y,N,MA,Internal Medicine - Rheumatology
1407926959,off-grid,N,N,MA,Chiropractor
1417083254,T5,Y,N,MA,Pediatrics
1154532786,off-grid,Y,N,MA,Nurse Practitioner - Obstetrics & Gynecology
1851525612,off-grid,Y,N,ME,Pediatrics
1154531614,T5,N,N,MA,Audiologist - Assistive Technology Practitioner
1639960479,off-grid,N,N,MA,Physician Assistant
1811879448,T3,N,N,RI,Nurse Practitioner - Psychiatric/Mental Health
1679590319,off-grid,Y,N,WA,Radiology - Diagnostic Radiology
1164425641,off-grid,N,N,NH,Family Medicine - Geriatric Medicine
1629665534,off-grid,N,N,MA,Physician Assistant - Medical
1376860833,off-grid,Y,N,MA,Internal Medicine - Gastroenterology
1336468867,off-grid,N,N,GA,Internal Medicine
1740323567,T5,N,N,RI,Psychologist
1669223988,off-grid,N,N,ME,Nurse Practitioner - Primary Care
1780624601,T5,N,N,RI,Internal Medicine
1114347069,off-grid,N,N,ME,Family Medicine
1457998502,T3,N,N,CT,Nurse Practitioner - Family
1568419349,T5,N,N,MA,General Practice
1043089592,off-grid,N,N,ME,Physical Therapist
1528521838,T1,N,N,NH,Social Worker - Clinical
1487906533,T1,N,N,MA,Social Worker
1740268382,off-grid,Y,N,MA,Psychiatry & Neurology - Psychiatry
1659495729,off-grid,N,N,MA,Optometrist
1821717877,off-grid,N,N,MA,Nurse Practitioner - Family
1932161890,off-grid,N,N,MA,Obstetrics & Gynecology
1407977846,off-grid,N,N,MA,Dermatology
1548280555,T5,N,N,RI,Obstetrics & Gynecology
1831525971,T1,N,N,MA,Social Worker - Clinical
1811144652,T1,N,N,MA,Social Worker - Clinical
1407237100,off-grid,N,N,RI,Nurse Practitioner - Acute Care
1366094963,off-grid,N,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1932588548,off-grid,N,N,MA,Family Medicine
1275187080,off-grid,N,N,ME,Counselor
1396918496,off-grid,N,N,MA,Radiology - Diagnostic Radiology
1891767885,off-grid,Y,N,MA,Orthopaedic Surgery
1235624891,T5,N,N,RI,Obstetrics & Gynecology
1841584257,T1,N,N,RI,Counselor - Mental Health
1114214202,T5,N,N,RI,Radiology - Diagnostic Radiology
1164934584,T3,N,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1710584222,off-grid,Y,N,MA,Physician Assistant
1245295518,off-grid,Y,N,MA,Radiology - Diagnostic Radiology
1043429582,off-grid,Y,N,MA,Nurse Practitioner - Adult Health
1245032440,T4,N,N,NH,Nurse Practitioner - Family
1184636052,off-grid,N,N,MN,Radiology - Diagnostic Radiology
1184367385,T5,Y,N,MA,Radiology - Diagnostic Radiology
1285271130,off-grid,N,N,RI,Social Worker - Clinical
1396139655,off-grid,Y,N,MA,Psychiatry & Neurology - Psychiatry
1427469089,T2,N,N,ME,Counselor - Professional
1275523359,off-grid,Y,N,MA,Internal Medicine - Gastroenterology
1154189892,T4,N,N,VT,Nurse Practitioner - Psychiatric/Mental Health
