payer,file_description,location_url,number_of_reporting_plans,example_plan_names,plan_market_types,n_primary_tocs,n_employer_tocs,size_bytes,last_modified,content_type,content_encoding,head_method,head_status,head_error
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A020-FS_in-network-rates.zip,18,ASSUMPTION UNIVERSITY - Best Buy HMO HSA | BRANDEIS UNIVERSITY - Best Buy HMO HSA | Brooke Charter School - Best Buy HMO HSA | CCMHG/Cape Cod Municipal Health Group - Best Buy HMO HSA | CITY OF MARLBOROUGH - Best Buy HMO HSA,group,1,17,108930598,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A020-P1_in-network-rates.zip,2,Best Buy HMO HSA,group; individual,2,0,109347788,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A025-P1_in-network-rates.zip,2,HMO - LP,group; individual,1,0,109358704,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A027-FS_in-network-rates.zip,1,Grappone Management Company Inc - PPO - LP,group,0,1,108627892,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A027-P1_in-network-rates.zip,1,PPO - LP,group; individual,0,1,108622196,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A031-FS_in-network-rates.zip,4,Admiral Packaging Inc - HPHC Insurance Company PPO | Husson University - HPHC Insurance Company PPO | Saint Joseph's College - HPHC Insurance Company PPO | THE ARC OF BLACKSTONE VALLEY - HPHC Insurance Company PPO,group,0,4,108582086,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A031-P1_in-network-rates.zip,1,HPHC Insurance Company PPO,group; individual,0,1,108648951,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A035-P1_in-network-rates.zip,2,ElevateHealth HMO,group; individual,1,0,111070035,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A043-FS_in-network-rates.zip,1,Harvard Pilgrim Health Care - House Acct - ElevateHealth HMO HSA,group,1,0,110423716,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A043-P1_in-network-rates.zip,1,ElevateHealth HMO HSA,group; individual,1,0,111053595,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A061-P1_in-network-rates.zip,2,ElevateHealth Options,group; individual,1,0,111088276,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A067-P1_in-network-rates.zip,2,HMO - Flex,group; individual,1,0,109370647,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A068-P1_in-network-rates.zip,2,PPO - Flex,group; individual,1,1,108650592,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A074-FS_in-network-rates.zip,1,HMFP - HMFP/LSP Choice Network,group,0,1,109110204,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A075-P1_in-network-rates.zip,1,POS - LP,group; individual,1,0,109426019,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A077-FS_in-network-rates.zip,1,Beth Israel Lahey Health (BILH) - BILH Domestic and Community HMO,group,0,1,109665457,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A078-FS_in-network-rates.zip,1,Beth Israel Lahey Health (BILH) - BILH HMO Plus,group,0,1,109650348,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A079-FS_in-network-rates.zip,1,Beth Israel Lahey Health (BILH) - BILH Tiered POS,group,0,1,109606717,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
