hospital,mrf_version,mrf_last_updated,code,code_type,description,modifiers,setting,billing_class,gross_charge,discounted_cash,deidentified_min,deidentified_max,payer_name,plan_name,standard_charge_dollar,standard_charge_percentage,standard_charge_algorithm,methodology,estimated_amount,median_amount,percentile_10th,percentile_90th,allowed_count,additional_notes,implied_dollar,implied_flag,rate_type,raw_setting,raw_billing_class,raw_methodology,source_format,source_ref
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,COMMONWEALTH CARE ALLIANCE [1007],HB MGH COMMONWEALTH CARE ALLIANCE,369.77,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.",other,,365.12,363.89,365.12,1 through 10,OPPS APC,369.77,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line14
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,HUMANA [1012],HB MGH MEDICARE,369.77,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.",other,,365.37,365.37,365.37,1 through 10,OPPS APC,369.77,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line15
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,INTERNATIONAL COMMERCIAL [140001],HB AMC / MEE / PCC / ONE TEAM HEALTH INTERNATIONAL,746.20,65,,percent of total billed charges,,723.45,723.45,723.45,1 through 10,,746.20,FALSE,dollar,both,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line16
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,MEDICARE [2001],HB MGH MEDICARE,369.77,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.",other,,369.81,369.81,369.81,84,OPPS APC,369.77,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line17
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,MGB HEALTH PLAN [150001],HB AMC MGBHP COMMERCIAL HMO,419.02,36.5,,percent of total billed charges,,415.15,352.82,415.15,13,,419.02,FALSE,dollar,both,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line18
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,MGB HEALTH PLAN [150001],HB AMC MGBHP COMMERCIAL PPO,439.68,38.3,,percent of total billed charges,,435.18,435.18,435.18,36,,439.68,FALSE,dollar,both,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line19
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,MGB HEALTH PLAN [150001],HB MGH MEDICARE,369.77,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.",other,,336.12,336.12,336.12,1 through 10,OPPS APC,369.77,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line20
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,TRICARE [160005],HB MGH TRICARE,351.32,,"APC Price ($369.81). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.324). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * the adjusted APC rate for the line. The fixed threshold is the sum of the outlier fixed-dollar threshold ($7,175) and the adjusted APC rate for the line. If the cost is greater than the threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 95%.",other,,351.32,351.32,351.32,1 through 10,Tricare OPPS,351.32,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line21
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,TUFTS HEALTH PLAN [170001],HB MGH TUFTS MEDICARE REPLACEMENT,362.37,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.",other,,362.81,335.92,362.81,1 through 10,OPPS APC,362.37,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line22
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,UNITED HEALTHCARE [1016],HB AMC CH UNITED NEW BUSINESS DISCOUNT,492.49,42.9,,percent of total billed charges,,889.73,889.73,889.73,1 through 10,,492.49,FALSE,dollar,both,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line23
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,UNITED HEALTHCARE [1016],HB MGH UNITED MEDICARE REPLACEMENT,362.37,,"APC Price ($369.77). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.",other,,362.92,362.41,369.81,1 through 10,OPPS APC,362.37,FALSE,dollar,both,,other,CSV,raw_massachusetts_general_hospital.jsonl:line24
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,both,,1148.00,861.00,351.32,912.66,WELLPOINT [1015],HB AMC WELLPOINT,846.99,73.78,,percent of total billed charges,,828.63,828.63,828.63,1 through 10,,846.99,FALSE,dollar,both,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line25
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,outpatient,,1148.00,861.00,221.27,938.15,AETNA [1001],HB AMC AETNA HMO,801.30,69.8,,percent of total billed charges,,1444.72,753.50,1444.72,1 through 10,,801.30,FALSE,dollar,outpatient,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line26
Massachusetts General Hospital,3.0.0,2026-03-27,95924,CPT,Test Ans Func Parasymp&Symp W/5 Mi,,outpatient,,1148.00,861.00,221.27,938.15,UNITED HEALTHCARE [1016],HB AMC UNITED PPO / POS,938.15,81.72,,percent of total billed charges,,889.73,889.73,1444.72,17,,938.15,FALSE,dollar,outpatient,,percent of total billed charges,CSV,raw_massachusetts_general_hospital.jsonl:line27
